State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI
Nevada,2014,13.541735445086706,28.208092485549134,26.184971098265898,0.031490459537572256,0.0444364161849711,44.76300578034682,0.37427555924855493,0.9647398843930636,0.9393063583815029,0.275246,0.5062760115606937,4.520231213872832
Nevada,2015,13.30549706200318,27.165659777424484,25.217806041335454,0.03149623211446741,0.04439109697933227,45.41971383147854,0.39295069872813987,0.934181240063593,0.8473767885532592,0.2685387058823529,0.4721287758346582,4.274760383386582
New Hampshire,2014,4.442317022988505,9.22528735632184,8.344827586206897,0.025634517241379308,0.03166666666666666,29.298850574712645,0.9137553275862069,1.282183908045977,1.1494252873563218,0.18992878160919538,0.2384022988505747,2.3333333333333335
New Hampshire,2015,3.3202604301675973,7.074022346368715,6.377094972067039,0.029951354748603352,0.038463687150837984,36.13128491620112,0.829106308659218,1.1863128491620112,0.9720670391061452,0.18394102932960893,0.2268282122905028,2.2039106145251397
New Jersey,2011,21.03529215229885,38.583333333333336,36.548850574712645,0.02228598275862069,0.034551724137931034,31.166666666666668,1.9554864252873563,4.676005747126437,7.025862068965517,0.3588298247126437,0.6310201149425287,6.227011494252873
New Jersey,2012,15.609114326158942,29.125827814569536,27.485099337748345,0.025578552980132452,0.03806622516556291,35.89403973509934,1.1821660645695364,2.6705298013245033,3.912251655629139,0.2833600902317881,0.4764983443708609,4.610927152317881
New Jersey,2013,15.236753,28.53120665742025,26.932038834951456,0.024276122052704577,0.03500554785020805,30.123439667128988,0.5411560686546463,1.5341886269070737,2.1650485436893203,0.2777091789181692,0.4365950069348128,4.26490984743412
New Jersey,2014,16.08126917966574,30.720055710306408,29.02367688022284,0.023692694986072425,0.03420194986072423,32.700557103064064,0.5906431685236769,1.5839832869080779,2.2729805013927575,0.2791915633704735,0.4505710306406685,4.383008356545961
New Jersey,2015,15.023080195918366,28.917006802721087,27.287074829931974,0.024570387755102042,0.0357891156462585,36.03673469387755,0.2922892156462585,0.8796598639455782,1.1156462585034013,0.284219843537415,0.45791156462585036,4.484353741496599
New Mexico,2011,13.406795132956153,28.50990099009901,26.497878359264497,0.03271685289957567,0.04546676096181047,39.95756718528996,0.4040336336633663,0.9421499292786422,0.8220338983050848,0.20552209476661953,0.4156265912305516,3.528995756718529
New Mexico,2012,13.742087632311977,29.166295264623958,27.114206128133706,0.03196546796657381,0.04495543175487465,39.760445682451255,0.6469370766016713,1.3008356545961002,1.3426183844011141,0.1843764192200557,0.3976727019498607,3.4066852367688023
New Mexico,2013,11.770744002789401,24.861645746164573,23.01813110181311,0.03306059414225942,0.04521338912133891,44.90934449093445,0.7893405188284518,1.255439330543933,1.1394700139470013,0.21493143654114366,0.3824337517433751,3.368715083798883
New Mexico,2014,11.61418033518776,24.962169680111266,23.09874826147427,0.030883371349095967,0.04305424200278164,41.378303198887345,0.5355299916550765,1.3191933240611962,1.534435261707989,0.22087208136300418,0.39769888734353265,3.477051460361613
New Mexico,2015,11.182752519886364,24.51875,22.661931818181817,0.029849920454545455,0.04242329545454546,40.51988636363637,0.6866199644886364,1.1835227272727273,1.0454545454545454,0.22949805539772727,0.41306107954545457,3.633522727272727
New York,2011,13.088026804234918,23.63531761885737,21.932481022772674,0.025910588094286854,0.034892129444666395,30.316819816220537,2.483608524370755,5.471294446664003,8.112664802237315,0.2776308078306033,0.4144306831801838,4.1064
New York,2012,18.094765563611492,32.64596443228454,30.44733242134063,0.024573976744186047,0.03557318741450068,32.05608755129959,2.5156718166894665,5.4776333789329685,8.157318741450068,0.34347082558139536,0.5150177838577291,5.203830369357045
New York,2013,17.91965873786408,32.32260748959778,30.091539528432733,0.024628091539528434,0.034998613037447994,31.918169209431344,1.8067857808599168,3.6881414701803052,5.169209431345354,0.30567513730929263,0.46501595006934815,4.633841886269071
New York,2014,16.92059225630252,30.945938375350142,28.77310924369748,0.024053095238095238,0.03395658263305322,32.252100840336134,1.4327756841736694,2.8320028011204483,3.775910364145658,0.27494524369747897,0.4509733893557423,4.352941176470588
New York,2015,17.165993538674034,32.03301104972376,29.803867403314918,0.023756726519337017,0.034479281767955804,33.83701657458563,1.0049649689226519,2.0034530386740332,2.501381215469613,0.26188325897790055,0.4389972375690608,4.273480662983426
North Carolina,2011,9.995173922644163,22.19690576652602,20.946554149085795,0.02928011251758087,0.04480028129395218,42.09845288326301,0.5708105450070323,1.7758087201125174,2.2644163150492265,0.3389694142053446,0.5227025316455697,5.337552742616034
North Carolina,2012,8.671511397727272,19.64448051948052,18.521103896103895,0.028014240259740263,0.0435974025974026,39.496753246753244,0.23376943749999998,0.8151785714285714,0.7987012987012987,0.28040618262987016,0.44661525974025973,4.376623376623376
North Carolina,2013,8.482232184659091,18.835227272727273,17.755681818181817,0.025435673295454545,0.038676136363636364,36.79545454545455,0.2538279133522727,0.8071022727272728,0.7102272727272727,0.2886447336647727,0.45373650568181817,4.505681818181818
North Carolina,2014,7.744522128651337,17.938906152889995,16.666873834679926,0.026798354257302672,0.0392224984462399,37.41516469857054,0.33198699005593535,0.909975139838409,0.8906152889993785,0.26944820696084526,0.4351224362958359,4.242874845105328
North Carolina,2015,6.945403845499645,16.615308291991497,15.23954642097803,0.026819333097094257,0.03986746987951807,38.69099929128278,0.27141563465627216,0.733805811481219,0.6605244507441531,0.25893989723600286,0.4280240963855422,4.1164772727272725
North Dakota,2011,4.47742701744186,13.555232558139535,12.799418604651162,0.025588098837209302,0.033761627906976746,28.607558139534884,0.2770650479651163,0.6664244186046512,0.5319767441860465,0.1651472659883721,0.21607848837209304,1.9796511627906976
North Dakota,2012,4.581983247252747,13.173076923076923,12.45054945054945,0.025031936813186814,0.0350521978021978,29.928571428571427,0.2248054945054945,0.5443681318681319,0.36538461538461536,0.17415960164835165,0.22882829670329669,2.107142857142857
North Dakota,2013,4.762328992,13.782,13.008,0.029309844,0.036768,31.248,0.21606182599999998,0.5256000000000001,0.364,0.155520676,0.197756,1.848
North Dakota,2014,4.481842769105691,12.066991869918699,10.975609756097562,0.027108730081300814,0.0353349593495935,32.96585365853659,0.15634254227642275,0.35845528455284553,0.191869918699187,0.16111435934959348,0.2040390243902439,1.9285714285714286
North Dakota,2015,4.299024267477203,10.862006079027354,9.884498480243161,0.024690896656534955,0.03287537993920973,30.559270516717326,0.12183230395136778,0.29620060790273556,0.1094224924012158,0.17179530243161095,0.21904559270516719,2.082066869300912
Ohio,2011,14.719710548501777,26.913153885220925,25.392585068562724,0.024950752158456067,0.035590655154900966,31.52260030472321,4.6100939568308785,13.945149822244794,22.673438293550024,0.2847055439309294,0.4735754189944134,4.412182741116752
Ohio,2012,13.829280486876641,25.860892388451443,24.38057742782152,0.023369489501312336,0.03412335958005249,29.95800524934383,3.1100301607611547,11.351640419947508,18.77296587926509,0.2771736692913386,0.4339251968503937,4.1587926509186355
Ohio,2013,12.638240598859316,24.288973384030417,22.919201520912548,0.023429307034220533,0.032727186311787074,29.133079847908746,2.3153791806083652,7.915969581749049,12.952471482889734,0.24290124429657795,0.3805209125475285,3.5256653992395437
Ohio,2014,12.016027368129329,23.59584295612009,22.249422632794456,0.023705387066974597,0.03391685912240185,32.15381062355658,2.262784156581986,8.229006928406466,13.842105263157896,0.24845723949191686,0.40595357967667434,3.7556581986143187
Ohio,2015,12.478634697078421,25.084059456688877,23.619682214249103,0.02392558585340851,0.034115838031778575,32.38851870835469,2.222045385699641,7.94584828293183,13.29764344262295,0.27006713300871343,0.437322655048693,4.132888660851719
Oklahoma,2011,6.743543981755986,14.949258836944127,13.843785632839225,0.03581864994298746,0.048116305587229194,45.620296465222346,0.8421996271379704,2.029703534777651,2.846066134549601,0.2281006778791334,0.3618568985176739,3.482326111744584
Oklahoma,2012,6.4826616103286385,15.939025821596243,14.823356807511738,0.032623923122065725,0.04516960093896713,42.299882629107984,0.45829787499999997,1.3033157276995304,1.741389375364857,0.16874380311032863,0.31170539906103284,2.856554967666079
Oklahoma,2013,6.744320405817175,16.334903047091412,15.21606648199446,0.03017072299168975,0.04173545706371191,41.300554016620495,0.3473052354570637,0.9720914127423823,1.254847645429363,0.17249583033240998,0.3217783933518006,2.9168975069252077
Oklahoma,2014,6.022743598802395,15.171107784431136,14.137724550898204,0.029898890718562877,0.040444610778443114,39.09880239520958,0.16927344011976048,0.6405688622754491,0.7544910179640718,0.15709433308383233,0.2844311377245509,2.6002994011976046
Oklahoma,2015,7.8059794089887635,18.96988764044944,17.575280898876404,0.026096294382022475,0.03862696629213483,37.184269662921345,0.6931801370786518,1.3041573033707865,1.4404494382022472,0.2395721404494382,0.4164044943820225,4.062921348314607
Oregon,2011,9.132214090062112,17.51894409937888,16.17391304347826,0.018564717391304348,0.027285714285714285,23.13664596273292,0.7425561102484473,1.6718944099378883,1.9223602484472049,0.3368955714285714,0.6003664596273293,5.8105590062111805
Oregon,2012,9.06379174691358,18.030864197530864,16.564814814814813,0.021104802469135802,0.03134876543209877,26.641975308641975,0.6284328317901234,1.300462962962963,1.2160493827160495,0.2961488842592593,0.534929012345679,5.1265432098765435
Oregon,2013,9.730130672672672,17.64954954954955,16.216216216216218,0.017591111111111113,0.02697297297297297,22.87987987987988,1.0765544954954955,1.8411411411411411,1.984984984984985,0.29224723573573574,0.5157687687687688,5.036036036036036
Oregon,2014,8.553654308845577,17.06116941529235,15.703148425787106,0.020886377811094453,0.0308095952023988,28.715142428785608,0.8413214002998501,1.3796101949025488,1.2634730538922156,0.2423400014992504,0.4103335832083958,3.904047976011994
Oregon,2015,9.187567528767124,18.231232876712326,16.75068493150685,0.019680350684931507,0.030279452054794518,28.153424657534245,0.46626452602739726,1.0636986301369864,0.9424657534246575,0.27515056986301367,0.4930041095890411,4.761643835616439
Pennsylvania,2011,11.238375840566551,22.512293444706735,21.132558561830397,0.024840284002179046,0.03763609950971491,33.20319593244961,2.1361014839295445,4.534465226075903,7.196843251088534,0.23196090294171054,0.3762573088796078,3.7135066351572443
Pennsylvania,2012,11.092222734551315,22.606018269747448,21.21905785420025,0.024558109260254344,0.037542002507612394,33.69550420920652,2.19093887721655,4.358427368798137,6.799427958526993,0.22253922416263658,0.3727938384381157,3.5959505464970434
Pennsylvania,2013,9.623867809705372,19.768180242634315,18.52426343154246,0.024817554072790293,0.03656915077989601,34.87487001733102,2.1006906878682843,4.005753899480069,6.253462603878116,0.16630085788561527,0.2893672443674177,2.767844767844768
Pennsylvania,2014,9.26664578329177,20.090623441396506,18.855610972568577,0.026065943890274314,0.037920199501246886,35.77082294264339,2.254288904239402,4.637793017456359,7.362369337979094,0.18998169201995013,0.33537568578553617,3.1489785749875434
